,at,content,reviewCreatedVersion,thumbsUpCount,content,topic
6,2021-09-22 23:45:00,"Que paso con la app, al abrir se cierra después de unos segundos, nunca me había pasado, arreglen eso por favor ya que hay muchos que usamos la app casi a diario, aparte es un show para hacer transferencias o comprar tiempo aire, se que es mas seguro en la forma como lo hacen pero no sirve de nada si es demasiado tardado o no se puede, siempre opto por usar otra app o así, estaría bien que cambiaran eso, es muy tedioso la verdad.",5.62,217,"Que paso con la app, al abrir se cierra después de unos segundos, nunca me había pasado, arreglen eso por favor ya que hay muchos que usamos la app casi a diario, aparte es un show para hacer transferencias o comprar tiempo aire, se que es mas seguro en la forma como lo hacen pero no sirve de nada si es demasiado tardado o no se puede, siempre opto por usar otra app o así, estaría bien que cambiaran eso, es muy tedioso la verdad.",transferencias
9,2021-03-21 17:26:06,"No funciona, después de más de una hora entre descargas, instalaciones y autenticaciones resulta que debo ir a la sucursal y todo porque realizaron un cambio derivado de la geolocalización por Ley donde me indicaron hacer la reinstalación. Pero solo resultó un problema con ustedes, afortunadamente en mi cuenta de nómina con otro banco fué realmente simple. El problema fue resuelto y finalmente pude hacer la transferencia. Muchas gracias,",5.59,201,"No funciona, después de más de una hora entre descargas, instalaciones y autenticaciones resulta que debo ir a la sucursal y todo porque realizaron un cambio derivado de la geolocalización por Ley donde me indicaron hacer la reinstalación. Pero solo resultó un problema con ustedes, afortunadamente en mi cuenta de nómina con otro banco fué realmente simple. El problema fue resuelto y finalmente pude hacer la transferencia. Muchas gracias,",transferencias
10,2021-08-04 14:39:20,"La app ha intentado mejorar desde el 2019, pero ahora no permite realizar transferencias tarda mucho en enviar el correo para comprobar la identidad y no reconoce el número que envían, además no envía el SMS al celular, si se vuelve a hacer el proceso memciona que no se puede enviar el código, entonces que hacer? Si pudiera pornerle 0 o un número negativo a la app lo haría sin pensarlo.",5.60,185,"La app ha intentado mejorar desde el 2019, pero ahora no permite realizar transferencias tarda mucho en enviar el correo para comprobar la identidad y no reconoce el número que envían, además no envía el SMS al celular, si se vuelve a hacer el proceso memciona que no se puede enviar el código, entonces que hacer? Si pudiera pornerle 0 o un número negativo a la app lo haría sin pensarlo.",transferencias
19,2021-06-14 16:44:16,"Poner una estrella es mucho, sólo porque lo pide para calificar, asco de banco,asco de app. Como es posible que para hacer transferencia, hay que registrar y todavía esperar 3 hrs. . Para una urgencia sirve. Lastimosamente donde laboro, cambio a este banco está un millón de veces mejor la app BBVA.. 14 06 21.. Sigo teniendo el mismo concepto de este banco y su app un asco... Si tienes la oportunidad de cambiar hazlo.",5.59.2,131,"Poner una estrella es mucho, sólo porque lo pide para calificar, asco de banco,asco de app. Como es posible que para hacer transferencia, hay que registrar y todavía esperar 3 hrs. . Para una urgencia sirve. Lastimosamente donde laboro, cambio a este banco está un millón de veces mejor la app BBVA.. 14 06 21.. Sigo teniendo el mismo concepto de este banco y su app un asco... Si tienes la oportunidad de cambiar hazlo.",transferencias
24,2021-07-02 14:36:40,"Esta aplicación no deja de presentar fallas desde el día en que la instalé. Ni si quiera me ha dejado registrarme, . Introduzco mis datos pero siempre me dice "" la operación no se pudo realizar"" 😠de tantos intentos me bloqueó la contraseña, luego a tratar de cambiarla solo me dice que no tiene conexión a Internet cuando sí la tengo. De verdad no he podido usarla para nada, un fallo total Desde la última actualización de plano ya no abre la app y la necesito para hacer transferencias. Malísimo..",5.60,126,"Esta aplicación no deja de presentar fallas desde el día en que la instalé. Ni si quiera me ha dejado registrarme, . Introduzco mis datos pero siempre me dice "" la operación no se pudo realizar"" 😠de tantos intentos me bloqueó la contraseña, luego a tratar de cambiarla solo me dice que no tiene conexión a Internet cuando sí la tengo. De verdad no he podido usarla para nada, un fallo total Desde la última actualización de plano ya no abre la app y la necesito para hacer transferencias. Malísimo..",transferencias
26,2021-09-20 02:37:16,"Actualización: se cierra constante al querer consultar los movimientos de la cuenta. ya cuenta con detección de huelga digital, pero pide dos veces huella digital. ha mejorado bastante la interfaz. para las cuentas dadas de alta para transferencia sería muy útil mostrarlo cómo un directorio telefónico para facilitar la búsqueda.",5.62,120,"Actualización: se cierra constante al querer consultar los movimientos de la cuenta. ya cuenta con detección de huelga digital, pero pide dos veces huella digital. ha mejorado bastante la interfaz. para las cuentas dadas de alta para transferencia sería muy útil mostrarlo cómo un directorio telefónico para facilitar la búsqueda.",transferencias
29,2021-10-07 08:02:16,"Pésima la última actualización en Android, ingresas e inicias sesión, te da saldo y hasta ahí todo correcto. Peeeeero cuando quieres hacer una transferencia, pago a tarjeta, pago de servicios, cualquier otra cosa ¡ya valió!, te saca de la App, esperando los famosos 5 minutos porque ""está abierta otra sesión "" y como diagrama de flujo. Te vuelve a sacar. 😡😡 ARREGLENLO YAAAAA ¡POR PIEDAD!.",5.62,115,"Pésima la última actualización en Android, ingresas e inicias sesión, te da saldo y hasta ahí todo correcto. Peeeeero cuando quieres hacer una transferencia, pago a tarjeta, pago de servicios, cualquier otra cosa ¡ya valió!, te saca de la App, esperando los famosos 5 minutos porque ""está abierta otra sesión "" y como diagrama de flujo. Te vuelve a sacar. 😡😡 ARREGLENLO YAAAAA ¡POR PIEDAD!.",transferencias
30,2020-12-04 21:15:57,"Tanto la app como sus ejecutivos son un asco, cambié de número y he ido más de 4 veces a mi sucursal para solucionar el problema y me salen con el mismo proceso, es el colmo, no puedo hacer transferencias, cuando intento abrir la app después de los 5 min, no carga y tarda más de una hora, la app me ha estado robando dinero sin aparecer en los movimientos y no me dan respuesta de nada, pésimo y espantoso servicio de este banco.",5.58.2,113,"Tanto la app como sus ejecutivos son un asco, cambié de número y he ido más de 4 veces a mi sucursal para solucionar el problema y me salen con el mismo proceso, es el colmo, no puedo hacer transferencias, cuando intento abrir la app después de los 5 min, no carga y tarda más de una hora, la app me ha estado robando dinero sin aparecer en los movimientos y no me dan respuesta de nada, pésimo y espantoso servicio de este banco.",transferencias
33,2020-11-01 01:17:37,"Muchos problemas con Super Token para el cambio de Celular( este comentario lo hise el 16 Octubre 2020). Después de varios intentos a lo largo de estos 15 dias, he podido cambiar la Aplicacion a mi nuevo celular incluyendo el Super Token. La explicación para hacerlo, que viene al inicio de la Aplicación, ahora si fue congruente con lo que expresa. Ya he podido realizar transferencias y pagar servicios, me siento satisfecho. Al final el proceso me pareció muy seguro; muchas gracias.",5.58.1,108,"Muchos problemas con Super Token para el cambio de Celular( este comentario lo hise el 16 Octubre 2020). Después de varios intentos a lo largo de estos 15 dias, he podido cambiar la Aplicacion a mi nuevo celular incluyendo el Super Token. La explicación para hacerlo, que viene al inicio de la Aplicación, ahora si fue congruente con lo que expresa. Ya he podido realizar transferencias y pagar servicios, me siento satisfecho. Al final el proceso me pareció muy seguro; muchas gracias.",transferencias
36,2021-09-13 12:05:26,"Pésima app. Calidad muy mala. Se sale de la aplicación cada que quieres revisar tu estado de cuenta, no te deja Iniciar sesión dos veces en menos de 5 minutos, no te deja tomar captura de pantalla, para todo te pide el supertoken y cuando lo ingresas lo marca como erróneo y pierdes mucho tiempo en el desbloqueo, tarda mucho tiempo para dar de alta un número de cuenta o tarjeta para hacer transferencias, etc.",5.61,102,"Pésima app. Calidad muy mala. Se sale de la aplicación cada que quieres revisar tu estado de cuenta, no te deja Iniciar sesión dos veces en menos de 5 minutos, no te deja tomar captura de pantalla, para todo te pide el supertoken y cuando lo ingresas lo marca como erróneo y pierdes mucho tiempo en el desbloqueo, tarda mucho tiempo para dar de alta un número de cuenta o tarjeta para hacer transferencias, etc.",transferencias
